date,open,high,low,close,cap
2007-02-16 00:00,1.31365,1.31443,1.30958,1.31356,1668189
2007-02-18 00:00,1.31364,1.31621,1.31338,1.31543,268729
2007-02-19 00:00,1.31533,1.31855,1.31201,1.31725,2026908
2007-02-20 00:00,1.31773,1.31881,1.31271,1.31414,2017623
2007-02-21 00:00,1.31427,1.31648,1.31116,1.31292,2004791
2007-02-22 00:00,1.31306,1.31404,1.30796,1.31161,2007295
2007-02-23 00:00,1.31144,1.31863,1.31013,1.31627,1747820
2007-02-25 00:00,1.3165,1.3195,1.31629,1.31922,265105
2007-02-26 00:00,1.31921,1.32024,1.31491,1.31824,2000682
2007-02-27 00:00,1.31836,1.32578,1.31579,1.32137,2002348
2007-02-28 00:00,1.3213,1.32389,1.31787,1.32268,1991848
2007-03-01 00:00,1.32259,1.32387,1.31547,1.31664,2008666
2007-03-02 00:00,1.3167,1.31998,1.31408,1.31882,1734812
2007-03-04 00:00,1.31949,1.32101,1.31174,1.3141,264557
2007-03-05 00:00,1.31411,1.31735,1.30723,1.31057,2005796
2007-03-06 00:00,1.31047,1.3139,1.3086,1.31187,2001137
2007-03-07 00:00,1.31207,1.31844,1.31086,1.31712,1996351
2007-03-08 00:00,1.31707,1.31793,1.31154,1.31483,1997179
2007-03-09 00:00,1.31497,1.31583,1.30864,1.31118,1741125
2007-03-11 00:00,1.31236,1.31415,1.31068,1.31131,312439
2007-03-12 00:00,1.31105,1.31992,1.31054,1.31853,2014571
2007-03-13 00:00,1.31862,1.32186,1.31547,1.31885,1999123
2007-03-14 00:00,1.31885,1.3244,1.31764,1.32253,2024797
2007-03-15 00:00,1.3224,1.33128,1.31919,1.32986,2004782
2007-03-16 00:00,1.32989,1.33381,1.32792,1.33106,1681649
2007-03-18 00:00,1.33064,1.33241,1.32946,1.33078,303876
2007-03-19 00:00,1.33084,1.33167,1.32758,1.32883,2071808
2007-03-20 00:00,1.32889,1.33232,1.32701,1.33156,2695786
2007-03-21 00:00,1.33154,1.34094,1.32861,1.33838,2674283
2007-03-22 00:00,1.33841,1.33893,1.3309,1.33203,2674496
2007-03-23 00:00,1.33213,1.33407,1.32762,1.32789,2261614
2007-03-25 00:00,1.32801,1.32933,1.32571,1.3264,249580
2007-03-26 00:00,1.32646,1.33455,1.32534,1.33254,634505
2007-03-27 00:00,1.33239,1.33667,1.33013,1.33463,610676
2007-03-28 00:00,1.33425,1.33716,1.32984,1.33158,629265
2007-03-29 00:00,1.33158,1.33517,1.33104,1.33398,630911
2007-03-30 00:00,1.33407,1.33985,1.3288,1.33535,838532
2007-04-01 00:00,1.3371,1.3377,1.33312,1.33464,116363
2007-04-02 00:00,1.33465,1.33802,1.33421,1.33664,1081651
2007-04-03 00:00,1.33668,1.33802,1.33179,1.3331,1107429
2007-04-04 00:00,1.3331,1.3381,1.3328,1.3366,1050883
2007-04-05 00:00,1.33642,1.3441,1.33525,1.34233,910893
2007-04-06 00:00,1.3425,1.34262,1.3364,1.3378,376122
2007-04-08 00:00,1.3374,1.33798,1.3359,1.3361,57524
2007-04-09 00:00,1.3361,1.3434,1.334,1.3423,558035
2007-04-10 00:00,1.34235,1.3456,1.34015,1.3422,1129830
2007-04-11 00:00,1.3422,1.3468,1.34065,1.346,1088105
2007-04-12 00:00,1.34605,1.35235,1.34405,1.3517,783675
2007-04-13 00:00,1.3518,1.35525,1.34845,1.35255,364082
2007-04-15 00:00,1.3554,1.3577,1.35221,1.3561,100967
2007-04-16 00:00,1.3562,1.3564,1.35221,1.3535,975200
2007-04-17 00:00,1.3535,1.3594,1.3527,1.3583,1040953
2007-04-18 00:00,1.3583,1.362,1.3556,1.3593,1222551
2007-04-19 00:00,1.3593,1.3628,1.35605,1.3617,896287
2007-04-20 00:00,1.36165,1.3637,1.3586,1.3588,925073
2007-04-22 00:00,1.35975,1.3607,1.35865,1.3587,68528
2007-04-23 00:00,1.3587,1.3594,1.354,1.3563,783189
2007-04-24 00:00,1.3563,1.3643,1.35505,1.3635,1058996
2007-04-25 00:00,1.3636,1.3665,1.3622,1.3645,897315
2007-04-26 00:00,1.3645,1.3654,1.3584,1.3601,1211340
2007-04-27 00:00,1.3601,1.3682,1.35865,1.3652,899964
2007-04-29 00:00,1.36305,1.3648,1.3615,1.36445,289456
2007-04-30 00:00,1.36456,1.36777,1.35884,1.36505,663341
2007-05-01 00:00,1.36504,1.36711,1.35623,1.35667,659700
2007-05-02 00:00,1.35663,1.36097,1.35598,1.35943,662313
